text,label
"这部番剧的节奏很紧凑,推荐观看", 2
"完全无法投入,毫无看点", 0
"演员们的表演让我印象深刻", 2
"没有任何亮点,失望至极", 0
"剧情跌宕起伏,值得一看", 2
"太过沉闷,根本无法集中精神", 0
"这部番剧非常有深度,值得反复思考", 2
"完全没有看下去的动力,浪费时间", 0
"视觉效果非常震撼,强烈推荐", 2
"根本不值一看,感觉浪费时间", 0
"剧情虽然简单,但很感人", 2
"太无聊了,无法坚持看完", 0
"特效做得非常棒,带来了极好的观影体验", 2
"番剧完全没有新意,非常失望", 0
"演员的演技非常到位,非常推荐", 2
"剧情毫无逻辑,完全不推荐", 0
"番剧非常有趣,笑点十足", 2
"一点也不好笑,看得我都烦了", 0
"情节发展非常引人入胜", 2
"看着太无聊了,不想继续看", 0
"导演非常有创意,情节非常独特", 2
"感觉像是浪费时间,剧情毫无深度", 0
"这部番剧让我对生活有了新的感悟", 2
"完全没看下去的欲望,太枯燥了", 0
"音乐和画面搭配得非常好", 2
"情节拖沓,根本无法专注", 0
"情感表达非常真实,推荐", 2
"完全无法引起共鸣,难以忍受", 0
"番剧节奏快,十分紧张刺激", 2
"毫无逻辑可言,看着让人困惑", 0
"这是一部经典的番剧,值得一看", 2
"看完后我只觉得失望", 0
"演员们的默契非常好,情节也很感人", 2
"剧情太拖沓,感觉时间浪费了", 0
"番剧的情感深度让我动容", 2
"看完后一点也不想记住这部番剧", 0
"节奏缓慢,但内容还是有吸引力的", 1
"简直看不下去,太无聊了", 0
"剧情非常出乎意料,值得一看", 2
"失望透顶,根本无法投入", 0
"演员的演技真是让人惊艳", 2
"完全看不下去,根本没看点", 0
"这部番剧有很深的哲理,值得思考", 2
"完全没有兴趣继续看下去", 0
"剧情非常紧凑,一直保持高度悬念", 2
"糟糕透顶,毫无可取之处", 0
"这部番剧充满了惊喜,剧情跌宕起伏", 2
"一点看点也没有,太枯燥了", 0
"这部番剧的世界观构建非常优秀", 2
"一点都不吸引人,完全浪费时间", 0
"人物设定非常有趣,看得津津有味", 2
"从头到尾都没有高潮,太沉闷了", 0
"剧情非常感人,感触颇深", 2
"实在是看不下去了,剧情太枯燥", 0
"这部番剧的情节设计巧妙,值得推荐", 2
"完全看不进去,情节拖沓无聊", 0
"导演的视角非常独特,故事引人入胜", 2
"感觉完全没有意义,太无聊了", 0
"这部番剧的配乐和画面搭配得天衣无缝", 2
"根本看不下去,剧情太差", 0
"剧情非常富有层次感,每次都能带来新发现", 2
"毫无吸引力,情节简单无趣", 0
"这部番剧充满创意,每一集都有惊喜", 2
"完全不能忍受,太难看了", 0
"很有深度的番剧,值得一看", 2
"看得昏昏欲睡,完全无法投入", 0
"剧情的紧张感非常强烈,观看体验很好", 2
"剧情平淡无奇,失望至极", 0
"这部番剧非常有趣,情节幽默", 2
"节奏太慢,根本没有吸引力", 0
"演员们的表演真的是一绝,非常精彩", 2
"每一集都让人感觉是在浪费时间", 0
"故事非常精彩,细节处理得也很好", 2
"完全没有耐心看完,根本看不下去", 0
"这部番剧真的很有意思,非常搞笑", 2
"剧情太简单,毫无深度", 0
"每一集都让我很有期待,非常喜欢", 2
"这部番剧的剧情毫无逻辑,实在是看不下去", 0
"剧情真的是极具吸引力,一下子就抓住了我", 2
"无聊透顶,完全没有亮点", 0
"故事情节很感人,值得一看", 2
"根本无法忍受,完全不吸引我", 0
"演员的演技非常到位,剧情也很感人", 2
"实在太无聊了,无法坚持看完", 0
"这部番剧有深度,非常引人思考", 2
"没有任何可看性,浪费时间", 0
"剧情很有新意,每一集都让人惊讶", 2
"完全看不进去,太枯燥无聊", 0
"这部番剧让我对人生有了新的看法,非常感动", 2
"一点也不好看,看得我很烦", 0
"剧情有很多悬念,非常吸引人", 2
"根本没有任何可看性,真的是浪费时间", 0
"这部番剧的节奏非常紧凑,非常好看", 2
"完全看不下去,节奏太慢", 0
"剧情非常震撼,一直让我保持紧张", 2
"没有任何亮点,简直看不下去", 0
"非常有创意的故事情节,值得推荐", 2
"一集都看不下去,剧情太无聊", 0
"每一集都有高潮,非常吸引人", 2
"完全没有看点,真的很失望", 0
"这部番剧的视觉效果非常震撼", 2
"根本没办法投入,完全不值得一看", 0
"这部番剧的情节非常引人入胜,真的是一绝", 2
"完全无法忍受,剧情实在太无聊", 0
"这部番剧的节奏非常合适,令人上瘾", 2
"看了几集后实在是无法继续下去", 0
"剧中的情感真挚,让人感动", 2
"完全没看下去的动力,剧情拖沓", 0
"每一集都非常精彩,剧情跌宕起伏", 2
"看着看着就睡着了,根本吸引不住我", 0
"这部番剧的创意非常棒,剧情很新颖", 2
"看了一半就放弃了,实在太无聊", 0
"剧情的设计非常巧妙,值得一看", 2
"毫无看点,感觉像是在浪费时间", 0
"这部番剧让我充满期待,每一集都很精彩", 2
"剧情平淡无奇,毫无看头", 0
"这部番剧的情感线非常动人,值得反复琢磨", 2
"一点也不好看,情节没有吸引力", 0
"故事情节非常紧凑,完全没有拖沓", 2
"无法坚持看完,剧情太拖沓了", 0
"非常精彩的番剧,剧情精彩绝伦", 2
"情节完全没有吸引力,完全不推荐", 0
"剧情有些单调,但也不至于完全无聊", 1
"虽然节奏较慢,但不失为一部可以看的番剧", 1
"这部番剧有点过于平淡,没有什么特别之处", 1
"剧情的推进不快,但偶尔也有些有趣的部分", 1
"整体感觉中规中矩,缺少一些令人惊艳的亮点", 1
"虽然剧情简单,但也能保持一定的吸引力", 1
"不算特别好,也不算特别差,适合消遣时间", 1
"有些地方可以做得更好,剧情有点单一", 1
"故事情节普通,但还算有些吸引力", 1
"演员表现尚可,剧情偶尔有些冗长", 1
"不算非常精彩,但也不至于让人失望", 1
"情节偶尔会有点拖沓,但总体还算不错", 1
"番剧节奏较慢,但还算能吸引人看下去", 1
"感觉有些地方缺少深度,但还是可以看的", 1
"情节虽然有些拖沓,但并不完全无趣", 1
"剧情设定中规中矩,有些地方显得有些老套", 1
"每一集都有一定的看点,但缺少突破", 1
"有些地方挺吸引人,但整体故事没什么新意", 1
"有一些趣味性的场景,但总体剧情不够紧凑", 1
"故事没有太多的亮点,但也不会让人觉得无聊", 1
"看起来并不是特别有趣,但也不算是浪费时间", 1
"剧情推进较慢,但并不乏味", 1
"有一些令人思考的地方,但总体比较平淡", 1
"番剧节奏不快,有时看得有些吃力", 1
"虽然有些情节有些俗套,但也有一些值得一看的部分", 1
"节奏较慢,不算特别吸引人,但也不至于无聊", 1
"故事情节没有太多高潮,但偶尔有些精彩", 1
"剧情很简单,比较适合轻松观看", 1
"有些场景还是挺有创意的,但整体不够精彩", 1
"虽说剧情并不复杂,但也能引起一些思考", 1
"情节虽然平凡,但有些细节处理得还不错", 1
"没有太多惊艳的时刻,情节有些平淡", 1
"并不特别吸引人,但也不算浪费时间", 1
"剧情虽然不紧凑,但并不完全乏味", 1
"虽然有些地方有点枯燥,但整体还算可看", 1
"剧情较为简单,缺少一些让人期待的转折", 1
"没有太多让人激动的部分,但也不至于很无聊", 1
"虽然节奏比较慢,但还算是可以继续看的番剧", 1
"剧情中规中矩,没有太多创新之处", 1
"情节较为简单,但不失为一部轻松的番剧", 1
"整体感觉中庸,不是特别吸引人,但也不完全失望", 1
"这部番剧的情节比较平淡,但还算耐看", 1
"有些地方有些拖沓,但还是能勉强看下去", 1
"虽然故事没有太大波动,但偶尔有一些有趣的瞬间", 1
"番剧情节简单,情感表达也比较直接", 1
"整体情节有点冗长,但不至于让人感到厌烦", 1
"虽然没有太多高潮,但情节还算平稳", 1
"剧情比较直白,没有什么特别深刻的地方", 1
"番剧的剧情不算特别精彩,但也算有一定的趣味性", 1
"情节的推进较慢,但偶尔也有一些令人期待的地方", 1
"虽然没有太多高潮,但故事还算完整", 1
"剧情设置比较简单,但还是有些看点", 1
"情节虽然没有太大波动,但也不至于让人完全失望", 1
"剧中的情感表达不算特别深刻,但还算自然", 1
"虽然剧情有些拖沓,但总体上也不算差", 1
"情节的处理比较平淡,但也不失为一部合格的番剧", 1
"虽然没有什么特别精彩的部分,但整体还算有趣", 1
"剧情虽然简单,但整体感觉还是可以接受的", 1
"有些地方略显拖沓,但整体来说还算可以", 1
"还行", 1
"当初看这个的时候,还是在初中,这哪里是我能顶得住的", 2
"哭得稀里哗啦的", 2
"有幸在10年前看了这部番, 对我的影响很大", 2
"剧情上过于无聊,为了某些催泪效果使得故事与人物的塑造几近扭曲,某些剧情完全为了催泪服务导致了很多不协调感。总的来说催泪效果是有的,感情线塑造不佳但是感情的塑造是好的,虽然不失为一部不错的作品,但是被捧得过高也是实话", 1
"催淚神作 會想再看第二次", 2
"想说的太多以至于无话可说", 2
"看了三部海贼王,怎么故事都是同一个模式…来到一个岛,遇到个小屁孩,了解当地的困难再打boss。与其说是海贼,不如说是勇者。", 0
"海贼王早期设定还只有冰山一角,原创剧本的自由发挥就比较过火。", 0
"早期东海5人组的剧场版都是这样的套路。", 0
"这时候的海贼王,很纯粹233", 2
"差点忘了这部", 2
"没任何看点,最后忍不住拉了。", 0
"大谷育江配的原创角色不错,村子的设定还可以,但并没有解释清楚BOSS为什么复活", 1
"娘化乔巴,我好兴奋啊~boss怎么复活的,黄泉果实?", 2
"到底那秘宝是什么东西 好神秘的样子", 2
"2007-06-21 不记得内容……", 0
"OP1真的强,像这样的动画充分证明了有些作品真的要在固定的年龄段收看才有最佳效果(有一定情怀加成吧)", 2
"有一定情怀加成吧,不过有的恶魔还挺可爱的。最大的问题是前后两部分太割接了,以及是主线稀薄,单元剧看得太累了。", 1
"顺便2クール比较无聊,希望大家都意识到玩具片的精髓是日常回?!", 1
"直到今天才知道原来魔力宝贝的不是魔力宝贝的动画,名叫魔力宝贝的动画是真女神转生的…", 0
"点播台 台湾腔魔力宝贝 没想到是真女神转生系列的", 0
"无聊,强忍着看完", 0
"童年回忆,选台必看ww", 2
"童年回忆,点播台看过的,剧情忘得差不多了,只记得最后一战是召唤流星雨解除路西法的封印。。。 应该值6分,童年回忆+1", 2
"点播台看完了", 1
"小时候在点歌台上看的", 1
"记得是本港台放送的,我承认像这玩意一般很拖剧情,但还是看的过瘾", 1
"最后的结局真的让我失望,一点都不觉得好看。果然长大了就没有童年那时的感觉了。擅自的期待能找到童年的感觉,看了之后却擅自的失望,人啊,唉。OP1真心好听!太经典了。", 0
"喜爱程度：数码宝贝>魔力宝贝>神奇宝贝", 1
"真女神转生游戏的衍生物,剧情不错", 2
"记得是小时候买错碟才看的。。有点数码宝贝的感觉,略无聊", 0
"童年ww", 2
"救命原来是这个系列么...真正的童年啊", 2
"原来这货是女神转生系列的= =|||。。。不可能补的东西", 0
"当时看的时候就在想这货到底和魔力宝贝有什么关系。。", 0
"完全找不到吸引我看第二集的点,倍速都拯救不了的白开水。便宜动画。", 0
"期待高了。一直觉得“闸门”和“侵略者”的设定逼格怪高,能爆出来大的,结果表现却潦潦草草,反派的动机也很幼稚。背景是1969年的日本,对当时时代的呈现并不出众,更别提对时代的情思。//最终评价是小男孩动画(?//后两部续作貌似会改变风格,再期待一下吧...", 0
"剧情是老套的,致敬是必要的", 1
"gonzo和佐藤顺一,外包好像还有京阿尼?わたし、気になりますO.O", 2
"GONZO前期作品还是可以的", 2
"有一说一年龄层应该是偏低了,后宫的效果也显得比较幼。", 0
"前期稍显无聊的剧情支持我看下去的动力就是黑衣人究竟能合体出个什么奇奇怪怪的东西出来,后期推进主线以后观感还是不错的", 2
"2000年简直是日本人怀念昭和情感大爆发的一年;就在这片播映的前一周,NHK的昭和鸡汤《Project X》也正式开播。如果将本作角色命运和真实日本经济相挂钩的话,转折点会选择在1985也就不言而喻了(题外话1 作为孝哥的初主役,京都回的第10话就已经5船跳  2  佐藤顺一这个总监督可不是挂名,这片表记也是东映式的  3 男女主名字皆neta 60·s日本知名GP车手,命运或许早已被决定)", 2
"恐怖的瞳孔占比,人设实属劝退,剧情也是越往后越无聊", 0
"更像特摄片  设定和故事好随便啊....打的也不好看  后期有几集配角的支线回  反而做得更好", 1
"又蠢又吵", 0
"童年还比较喜欢,现在回过头来查缺补漏发现看不下去了。。。", 0
"总的来说乏善可陈,嘛,相对机动战舰而言...机动战舰被人说是过家家,那这个就十足的老模板+小家子气了。有几集很蠢,eg雪女出场...不过算的上值得一看,对结尾就别挑刺了,这续集还是不要看了。", 0
"虽然傻傻的但还算有趣的作品 超能力战斗其实没什么特色 笨蛋女主角也没什么存在感 看点果然还是热血和幼女吧", 1
"瞄了眼,到结尾都还是候补,原作腰斩,惨。感觉就是传统的主角开高达打怪兽的故事,非常普通。劣质三维。看到有人说21岁的钉宫声音,就想听一下,结果看了三集只听到钉宫喊了个人名(笑)。", 0
"画风完全是我的菜，别的……充满了时代的印记。比我想象的还要老一点点的作品。", 2
"剧情不怎么样，但画风配乐真心不错", 1
"从前两集看起来挺迷的。。", 1
"變態醫生太正點了= =！", 2
"这片子分镜好迷……", 0
"节操社早期基片，剧情基本上就是邪恶大BOSS为了些变态的目的，千方百计想要把男主夺走（BOSS为啥总是这么X疼）。男主的紫瞳很美，插入歌Amethyst Remembrance很好听，别的没啥值得推荐的", 0
"漫画烂尾了，所以……", 0
"7分全给邑辉！心理变态的银发美人，实在太charming了", 2
"无力吐槽。感觉吧，是心理有病的人和心理变态的人的故事。还有，这里的设定是死神会死么？都筑不会死这么神奇吗。我原来以为邑辉是真心喜欢都筑，但现在感觉就是想用身体让尼桑复活再杀死，那算什么爱！不过估计漫画后面是不是真的爱上了…", 0
"当初年幼无知还看过这东西....", 1
"觉得剧情挺耐看，就是连24集都不到啊", 1
"喜歡變態醫生。", 2
"记得有个哥哥……还有个弟弟……精神病院什么的orz反正挺腐的", 1
"真心不能带脑子看。", 0
"刷个邑辉萨玛！那个时候还不是时臣的错ww", 2
"松下容子，大概消失了？音乐不错", 1
"美男死神们的办案故事，暧昧暧昧，一般般吧。那个时期的角色属性都大同小异，但是，够美。", 1
"口胡，怎么有动画了，这不是没完结吗？话说……漫画的链接在哪儿", 0
"基片补全", 2
"有点诡异的气氛", 1
"这么多年前的片了没想到意外的萌 op不错 补补漫画吧", 2
"忘了干嘛的了", 0
"动画完全出不了漫画的美貌何况坑了，。", 0
"坑爆拉~", 0
"剧情忘得差不多了。。。", 0
"男人啊……", 0
"怎么说呢。。这样的漫画改动画都会杯具，这个已经不错了，。，。不过现在还烂尾着。。", 0
"因为是基片", 2
"看的漫画！！！！当时是很心水的啊！！！", 2
"8，瑕不掩瑜。再见了，所有的喵帕斯。感谢每一条乡间小径和每天穿过小径树影的女孩们。", 2
"舒服", 2
"完结了......有种时间被冻结了的感觉", 1
"喵帕斯！！", 2
"最后展示了村子的一点流动性//通篇架构也比较简单，就是几个人一直玩，在玩之中感受人人关系性和生活的稳定与运动", 1
"全篇基本都是莲华主场，最喜欢的一季", 2
"不經意間就落淚了。不夠看~", 2
"平凡的生活，让人放松与宽慰，但不知为何，又让人感觉莫名的悲伤……", 1
"后来啊", 1
"7+1恬适感", 2
"在大城市想起老家的时候总会看看。最后一集攒了半年，今天还是看了。", 2
"悠哉日常大王，应该是今年看过我最满意的日常动画。（因为没怎么看日常动画。）2024-3-27——2024-5-19", 2
"时间越过越快了", 1
"可爱", 2
"求求了再来十季吧真的看不够啊啊啊", 2
"比前两季多了欢闹少了恬静，但是ep10开始感觉都回来了", 1
"有点无聊啊，我不是受众", 0
"悠哉的乡村日常生活，和熟悉的邻居朋友，是我现在向往而回不去的曾经。", 2
"日常的神", 2
"真好啊(bgm74)可惜以后再也没有了(bgm74)", 2
"很难想象S3与S2是同一位监督的作品。我那心心念念的悠闲的乡村生活甚至更跨了一步变成了搞笑日常大王。", 0
"尽管生活不像我们想的那样精彩 但是我们永远应该热爱生活！", 2
"试试//又捡起来了//捡起来，做出了日常精髓，喜欢ED前的过场，宮内れんげ出场的时候是舒适中的舒适", 2
"我的，日常神作", 2
"美好的乡村日常", 2
"喵帕斯~", 2
"平平淡淡才是真", 2
"真好", 2
"怎么完结了?", 1
"久闻大名，有空会看", 1
"9⇨8", 1
"和摇曳露营并称日常天花板", 2
"悠哉的生活一去不复返了已经。", 0
"很对电波", 2
"日本乡村故事很对电波", 2
"乡村生活太爱了", 2
"越看越好看，到了三期，真的是看一集少一集啊……", 2
"八年前小莲的一声喵帕斯，唤醒了一整个夏天，在这悠哉日常里所经历的每个春夏秋冬，承载了非常多美好梦幻的记忆，陪伴着我们成长，如今梦结束了，但她们的故事还在继续，而我会永远期待下一个悠哉日常的到来！我们所经历的每个平凡日常，也许就是连续发生的奇迹！", 2
"喵帕斯", 2
"这样一尘不变，又带有少许感动的日常是我最向往的世界", 2
"这就结束了啊......", 1
"“不是同一条路，下雨的时候、多云的时候，每次都有一些不同，很有趣的。今天也不一样，是个大晴天。”没什么别的感受，我只是觉得活这一辈子能看到这样的动画实在是太幸福了。", 2

